player,season,AGE,MIN,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,OFFRTG,DEFRTG,player_possessions,WS,win_score_final,win_score_final_40_game_season,wins_per_100_poss,Pos,Player
Tamika Catchings,30135,450,14373,7371,2382,5738,605,1701,2002,2384,916,2397,1484,1041,1072,383,1229,1502.2,1407.7,26513.2945,93.7,89.68,106.14,0.34,F,Tamika Catchings
Sylvia Fowles,30225,450,12317,6413,2530,4223,1,1,1352,1857,1132,2873,461,961,490,721,1049,1514.4,1449.4,23970.424,73.5,84.27,100.48,0.35,C,Sylvia Fowles
Candace Parker,32248,488,12445,6574,2471,5163,342,1027,1290,1682,621,2846,1634,1062,521,619,834,1658.4,1538.7,24567.1425,64.2,82.86,100.20,0.34,F,Candace Parker
Lisa Leslie,24032,368,11614,6251,2329,4950,123,386,1470,2117,880,2423,873,1186,490,818,1391,1196.2,1103,21799.42925,59.7,65.01,79.92,0.30,C,Lisa Leslie
Nneka Ogwumike,26234,364,11719,6502,2554,4713,165,448,1229,1462,791,2168,797,697,618,242,1047,1335.1,1262.6,23282.642,69,67.71,78.69,0.29,F,Nneka Ogwumike
Sue Bird,38220,600,18083,6802,2479,5778,1001,2551,843,988,211,1255,3234,1393,724,72,775,1960.9,1840.8,34294.87325,61.7,65.35,78.20,0.19,G,Sue Bird
Diana Taurasi,40279,659,17278,10608,3328,7843,1440,4000,2512,2887,239,1962,2389,1516,515,349,1732,2075.9,2034.5,34886.61675,74.3,65.15,77.65,0.19,G,Diana Taurasi
Lauren Jackson,24078,318,10123,6005,2089,4543,436,1243,1391,1653,707,1737,435,549,360,586,982,1216.9,1109.3,18619.906,73.1,62.86,74.52,0.34,F,Lauren Jackson
Lindsay Whalen,30165,450,13581,5511,1958,4244,193,664,1402,1725,354,1451,2347,1002,500,41,998,1543.9,1426.1,26434.7115,59.9,62.97,74.08,0.24,G,Lindsay Whalen
Taj McWilliams-Franklin,28077,497,13523,4992,1979,4049,69,247,965,1311,1059,1947,879,898,577,443,1145,1398,1331.9,25157.25725,53.9,58.80,70.38,0.23,F,Taj McWilliams-Franklin
Yolanda Griffith,22044,385,8937,4224,1497,2962,0,5,1230,1723,1048,1392,451,653,527,323,991,1086,1028.1,16241.51225,59.4,57.37,69.63,0.35,C,Yolanda Griffith
Rebekkah Brunson,30165,450,11364,4133,1592,3414,43,126,906,1310,1165,2180,486,615,456,281,996,1506.9,1433.7,21918.6195,48.6,57.66,67.83,0.26,F,Rebekkah Brunson
Breanna Stewart,16161,209,8540,5419,1863,3967,433,1215,1260,1507,352,1919,819,485,368,383,581,868.9,783.2,17162.39075,54.1,57.22,67.13,0.33,F,Breanna Stewart
DeWanna Bonner,30247,442,15252,7480,2497,6006,623,2052,1863,2173,621,2445,1138,798,603,335,848,1546,1483.3,30434.588,61.8,53.53,63.88,0.18,G,DeWanna Bonner
Courtney Vandersloot,28245,413,12022,4278,1609,3603,380,1127,680,837,197,1164,2850,1128,533,191,925,1452.7,1380.4,24282.4355,36.1,49.74,59.89,0.20,G,Courtney Vandersloot
Tina Thompson,34085,527,16063,7470,2623,6286,745,2014,1479,1777,884,2181,803,1213,452,372,1270,1679.8,1599.4,29365.05,60.7,48.40,59.56,0.16,F,Tina Thompson
Sheryl Swoopes,24040,400,10591,4875,1828,4196,270,855,949,1151,344,1252,1037,677,657,216,519,1173.3,1115.5,18864.438,56,47.08,57.89,0.25,F,Sheryl Swoopes
Sancho Lyttle,30180,435,9361,3478,1451,3070,41,161,535,760,746,1850,592,563,630,221,947,1475.9,1400.6,18741.59875,35.8,47.74,56.16,0.25,F,Sancho Lyttle
Katie Douglas,28105,413,12608,5545,1919,4627,723,1969,984,1223,438,1124,1069,824,623,126,697,1384.2,1325.9,23838.69475,49,47.03,55.68,0.20,G,Katie Douglas
Ticha Penicheiro,30075,465,12742,2729,847,2422,128,516,907,1241,203,1282,2588,1125,761,51,913,1453.4,1418.7,23444.26575,27.3,45.56,55.27,0.19,G,Ticha Penicheiro
Tina Charles,26212,368,13738,7696,3104,6887,185,578,1303,1680,1129,2885,959,958,351,409,948,1286.5,1296.7,27096.123,45.9,45.42,52.69,0.17,C,Tina Charles
